epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,810.832,0.98347,2.4379,1.11936,0.60137,0.5848,0.58866,0.3959,1.15513,2.29542,1.18354,0.000651515,0.000651515,0.000651515
2,1606.36,1.03636,1.06141,1.15411,0.40471,0.10526,0.09367,0.05999,3.15797,5.36319,6.22995,0.00126381,0.00126381,0.00126381
3,2402.82,1.10147,0.95693,1.18418,0.00452,0.29825,0.00263,0.00101,2.68073,210.106,9.84172,0.0018211,0.0018211,0.0018211
4,3226.61,1.15659,0.97294,1.21436,0.63059,0.61988,0.71622,0.46381,1.07549,4.76644,1.29854,0.0017525,0.0017525,0.0017525
5,4058.87,1.08848,0.84292,1.15477,0.01998,0.25731,0.01102,0.00308,2.76848,11.422,5.37859,0.00167,0.00167,0.00167
6,4882.91,0.98627,0.75062,1.10953,0.83549,0.86132,0.92194,0.67058,0.9478,0.88488,1.14258,0.0015875,0.0015875,0.0015875
7,5700.28,0.98542,0.71062,1.11933,0.83639,0.87135,0.89618,0.67703,0.92011,0.99105,1.06901,0.001505,0.001505,0.001505
8,6519.11,0.95345,0.72359,1.08887,0.90052,0.89474,0.94764,0.76076,0.7525,0.60663,0.98373,0.0014225,0.0014225,0.0014225
9,7348.77,0.92468,0.68305,1.07468,0.9563,0.90643,0.96204,0.77959,0.71802,0.60589,0.963,0.00134,0.00134,0.00134
10,8170.07,0.90971,0.66727,1.0753,0.95966,0.93567,0.9768,0.81558,0.6796,0.52568,0.94025,0.0012575,0.0012575,0.0012575
11,9004.95,0.87298,0.62818,1.06449,0.97562,0.93616,0.97014,0.81099,0.64166,0.51038,0.92817,0.001175,0.001175,0.001175
12,9823.67,0.88223,0.63479,1.04397,0.95731,0.92982,0.96873,0.82115,0.60629,0.50171,0.92009,0.0010925,0.0010925,0.0010925
13,10637.5,0.7888,0.56392,1.00496,0.95267,0.94164,0.97321,0.84069,0.60783,0.47936,0.90726,0.00101,0.00101,0.00101
14,11477.6,0.78301,0.56752,1.01607,0.95176,0.94737,0.97794,0.83837,0.57502,0.45668,0.89734,0.0009275,0.0009275,0.0009275
15,12299.3,0.66887,0.5082,0.94706,0.95335,0.95599,0.9784,0.84445,0.57791,0.46587,0.89385,0.000845,0.000845,0.000845
16,13120.5,0.65186,0.4585,0.92877,0.94496,0.92982,0.96648,0.80341,0.68991,0.46699,0.91898,0.0007625,0.0007625,0.0007625
17,13950.8,0.63973,0.44582,0.91432,0.96137,0.94152,0.97701,0.84479,0.58897,0.44347,0.8994,0.00068,0.00068,0.00068
18,14788.5,0.62202,0.43151,0.92676,0.98083,0.95906,0.97815,0.85115,0.5385,0.40169,0.89931,0.0005975,0.0005975,0.0005975
19,15643.4,0.62856,0.42612,0.94345,0.98486,0.95322,0.98037,0.85141,0.54218,0.38868,0.88788,0.000515,0.000515,0.000515
20,16460,0.61415,0.40408,0.91044,0.9937,0.92195,0.97128,0.85117,0.5366,0.40086,0.88904,0.0004325,0.0004325,0.0004325
21,17278.9,0.57498,0.38582,0.89061,0.98652,0.95322,0.98231,0.87887,0.46052,0.34671,0.86177,0.00035,0.00035,0.00035
22,18193,0.55157,0.37076,0.89432,0.97629,0.9631,0.98077,0.89776,0.44916,0.33947,0.85763,0.0002675,0.0002675,0.0002675
23,19024.6,0.53683,0.34812,0.87904,0.98162,0.95322,0.9822,0.89779,0.42927,0.32117,0.84276,0.000185,0.000185,0.000185
24,19872.9,0.52022,0.33667,0.88353,0.98786,0.95171,0.98267,0.90498,0.41136,0.30892,0.83792,0.0001025,0.0001025,0.0001025
